
(vret_env) C:\Users\Shayan\Desktop\NICS\acrophobia\shayan_code\vret_pipeline>python vret_server_v2.py
Starting VRET biofeedback server v2 (procedural)...
[LSL] searching for OpenSignals stream...
2026-06-01 22:26:27.009 (   2.713s) [        30622662]      netinterfaces.cpp:36    INFO| netif '{3BDC3AB1-4EF3-4CC8-8BAE-BB2AC2CAEB34}' (status: 2, multicast: 1
2026-06-01 22:26:27.009 (   2.713s) [        30622662]      netinterfaces.cpp:36    INFO| netif '{54921B9A-D779-4B2B-8820-1CE578EBA38A}' (status: 2, multicast: 1
2026-06-01 22:26:27.009 (   2.713s) [        30622662]      netinterfaces.cpp:36    INFO| netif '{ED154277-1459-47EB-AF78-151677F44DD4}' (status: 2, multicast: 1
2026-06-01 22:26:27.009 (   2.713s) [        30622662]      netinterfaces.cpp:36    INFO| netif '{DE25D8FA-C1F1-4A02-BF65-B86B6B10F338}' (status: 1, multicast: 1
2026-06-01 22:26:27.009 (   2.714s) [        30622662]      netinterfaces.cpp:58    INFO|       IPv6 ifindex 17
2026-06-01 22:26:27.009 (   2.714s) [        30622662]      netinterfaces.cpp:36    INFO| netif '{327421B6-9D15-4A91-BCBC-85D1C378F4EB}' (status: 2, multicast: 1
2026-06-01 22:26:27.010 (   2.714s) [        30622662]      netinterfaces.cpp:36    INFO| netif '{6575BA6E-BB71-11F0-BCDF-806E6F6E6963}' (status: 1, multicast: 1
2026-06-01 22:26:27.010 (   2.714s) [        30622662]      netinterfaces.cpp:58    INFO|       IPv6 ifindex 1
2026-06-01 22:26:27.010 (   2.714s) [        30622662]         api_config.cpp:126   INFO| Loaded default config
name=OpenSignals | type=00:07:80:0F:31:9C | ch=3 | rate=1000.0 | source=OpenSignals
2026-06-01 22:26:29.023 (   4.727s) [        30622662]             common.cpp:78    INFO| git:64988c6a14b8dc3b3f270ece58eab4f480bfab43/branch:refs/tags/v1.17.7/build:Release/compiler:MSVC-19.29.30159.0/link:SHARED
[LSL] mapped by label -> EDA=ch1, ECG=ch2 (labels: ['DIGITAL', 'EDA', 'ECG']).

press enter to start the session (begins baseline from recording sample 0)
[CTRL] sent 'start' to fake stream at 127.0.0.1:5006
got 0 samples
got 14 samples| raw_EDA=3.3985 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4069 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4058 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4055 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4062 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4069 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4006 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4013 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4055 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4027 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4013 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4055 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.4044 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3999 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4031 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4041 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3992 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4055 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4062 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3985 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4055 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4041 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3992 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4013 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4027 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3992 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3999 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4013 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3992 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4017 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4017 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3999 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4017 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4013 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3992 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3985 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4027 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3992 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3937 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4013 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3992 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3947 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3975 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3972 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3985 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4006 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4003 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3989 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4027 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4096 μS | HR=82.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3965 μS | HR=82.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4024 μS | HR=82.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4020 μS | HR=82.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3999 μS | HR=82.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3972 μS | HR=82.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3999 μS | HR=82.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3965 μS | HR=82.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3985 μS | HR=82.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4006 μS | HR=82.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4013 μS | HR=82.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3972 μS | HR=82.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3972 μS | HR=82.0 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3933 μS | HR=82.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3920 μS | HR=82.0 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3958 μS | HR=81.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3909 μS | HR=81.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3937 μS | HR=81.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3951 μS | HR=81.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3933 μS | HR=81.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3909 μS | HR=81.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3999 μS | HR=81.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3985 μS | HR=81.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3937 μS | HR=81.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3985 μS | HR=81.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.3958 μS | HR=81.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3933 μS | HR=81.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3985 μS | HR=81.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3958 μS | HR=81.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3930 μS | HR=81.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3979 μS | HR=81.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4006 μS | HR=81.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3972 μS | HR=81.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4069 μS | HR=81.0 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.4041 μS | HR=81.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3985 μS | HR=81.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4013 μS | HR=81.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4013 μS | HR=81.8 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4044 μS | HR=81.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3961 μS | HR=81.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4003 μS | HR=81.8 BPM | RMSSD=— ms
