
(vret_env) C:\Users\Shayan\Desktop\NICS\acrophobia\shayan_code\vret_pipeline>python vret_server_v2.py
Starting VRET biofeedback server v2 (procedural)...
[LSL] searching for OpenSignals stream...
2026-06-01 20:09:30.461 (  31.009s) [        30B634AD]      netinterfaces.cpp:36    INFO| netif '{3BDC3AB1-4EF3-4CC8-8BAE-BB2AC2CAEB34}' (status: 2, multicast: 1
2026-06-01 20:09:30.461 (  31.010s) [        30B634AD]      netinterfaces.cpp:36    INFO| netif '{54921B9A-D779-4B2B-8820-1CE578EBA38A}' (status: 2, multicast: 1
2026-06-01 20:09:30.461 (  31.010s) [        30B634AD]      netinterfaces.cpp:36    INFO| netif '{ED154277-1459-47EB-AF78-151677F44DD4}' (status: 2, multicast: 1
2026-06-01 20:09:30.462 (  31.010s) [        30B634AD]      netinterfaces.cpp:36    INFO| netif '{DE25D8FA-C1F1-4A02-BF65-B86B6B10F338}' (status: 1, multicast: 1
2026-06-01 20:09:30.462 (  31.010s) [        30B634AD]      netinterfaces.cpp:58    INFO|       IPv6 ifindex 17
2026-06-01 20:09:30.462 (  31.010s) [        30B634AD]      netinterfaces.cpp:36    INFO| netif '{327421B6-9D15-4A91-BCBC-85D1C378F4EB}' (status: 2, multicast: 1
2026-06-01 20:09:30.462 (  31.010s) [        30B634AD]      netinterfaces.cpp:36    INFO| netif '{6575BA6E-BB71-11F0-BCDF-806E6F6E6963}' (status: 1, multicast: 1
2026-06-01 20:09:30.462 (  31.010s) [        30B634AD]      netinterfaces.cpp:58    INFO|       IPv6 ifindex 1
2026-06-01 20:09:30.462 (  31.010s) [        30B634AD]         api_config.cpp:126   INFO| Loaded default config
name=OpenSignals | type=00:07:80:0F:31:9C | ch=3 | rate=1000.0 | source=OpenSignals
2026-06-01 20:09:32.478 (  33.026s) [        30B634AD]             common.cpp:78    INFO| git:64988c6a14b8dc3b3f270ece58eab4f480bfab43/branch:refs/tags/v1.17.7/build:Release/compiler:MSVC-19.29.30159.0/link:SHARED
[LSL] mapped by label -> EDA=ch1, ECG=ch2 (labels: ['DIGITAL', 'EDA', 'ECG']).

press enter to start the session (begins baseline from recording sample 0)
[CTRL] sent 'start' to fake stream at 127.0.0.1:5006
got 0 samples
got 13 samples| raw_EDA=8.8217 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8196 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8293 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8206 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8185 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8158 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8182 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8137 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8102 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8092 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.8109 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8074 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7981 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7929 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7592 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.6923 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6358 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.5983 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6073 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.6334 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6694 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6854 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6826 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.6715 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6268 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6067 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.6046 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.6136 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6410 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.6750 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6972 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7055 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.7197 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7211 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7350 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7284 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.7305 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7329 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7350 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.7294 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7325 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7350 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.7329 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7332 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7391 μS | HR=— BPM | RMSSD=— ms
