
(vret_env) C:\Users\Shayan\Desktop\NICS\acrophobia\shayan_code\vret_pipeline>python vret_server_v2.py
Starting VRET biofeedback server v2 (procedural)...
[LSL] searching for OpenSignals stream...
2026-06-01 21:56:50.127 (   2.627s) [        F528FB58]      netinterfaces.cpp:36    INFO| netif '{3BDC3AB1-4EF3-4CC8-8BAE-BB2AC2CAEB34}' (status: 2, multicast: 1
2026-06-01 21:56:50.128 (   2.627s) [        F528FB58]      netinterfaces.cpp:36    INFO| netif '{54921B9A-D779-4B2B-8820-1CE578EBA38A}' (status: 2, multicast: 1
2026-06-01 21:56:50.128 (   2.627s) [        F528FB58]      netinterfaces.cpp:36    INFO| netif '{ED154277-1459-47EB-AF78-151677F44DD4}' (status: 2, multicast: 1
2026-06-01 21:56:50.128 (   2.628s) [        F528FB58]      netinterfaces.cpp:36    INFO| netif '{DE25D8FA-C1F1-4A02-BF65-B86B6B10F338}' (status: 1, multicast: 1
2026-06-01 21:56:50.128 (   2.628s) [        F528FB58]      netinterfaces.cpp:58    INFO|       IPv6 ifindex 17
2026-06-01 21:56:50.128 (   2.628s) [        F528FB58]      netinterfaces.cpp:36    INFO| netif '{327421B6-9D15-4A91-BCBC-85D1C378F4EB}' (status: 2, multicast: 1
2026-06-01 21:56:50.128 (   2.628s) [        F528FB58]      netinterfaces.cpp:36    INFO| netif '{6575BA6E-BB71-11F0-BCDF-806E6F6E6963}' (status: 1, multicast: 1
2026-06-01 21:56:50.128 (   2.628s) [        F528FB58]      netinterfaces.cpp:58    INFO|       IPv6 ifindex 1
2026-06-01 21:56:50.128 (   2.628s) [        F528FB58]         api_config.cpp:126   INFO| Loaded default config
name=OpenSignals | type=00:07:80:0F:31:9C | ch=3 | rate=1000.0 | source=OpenSignals
2026-06-01 21:56:52.142 (   4.642s) [        F528FB58]             common.cpp:78    INFO| git:64988c6a14b8dc3b3f270ece58eab4f480bfab43/branch:refs/tags/v1.17.7/build:Release/compiler:MSVC-19.29.30159.0/link:SHARED
[LSL] mapped by label -> EDA=ch1, ECG=ch2 (labels: ['DIGITAL', 'EDA', 'ECG']).

press enter to start the session (begins baseline from recording sample 0)
[CTRL] sent 'start' to fake stream at 127.0.0.1:5006
got 0 samples
got 13 samples| raw_EDA=20.2900 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.2845 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.2859 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.2720 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.2706 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.2706 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=20.2692 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=20.2720 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.2706 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=20.2692 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.2678 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=20.2803 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.2873 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.2914 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.3081 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.3192 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.3344 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=20.3469 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=20.3830 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.4190 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.4662 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.5231 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.5799 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.6188 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.6881 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.7589 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8241 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8782 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9226 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9781 μS | HR=— BPM | RMSSD=— ms
