
(vret_env) C:\Users\Shayan\Desktop\NICS\acrophobia\shayan_code\vret_pipeline>python vret_server_v2.py
Starting VRET biofeedback server v2 (procedural)...
[LSL] searching for OpenSignals stream...
2026-06-01 22:13:06.438 (   2.596s) [         8352EE6]      netinterfaces.cpp:36    INFO| netif '{3BDC3AB1-4EF3-4CC8-8BAE-BB2AC2CAEB34}' (status: 2, multicast: 1
2026-06-01 22:13:06.438 (   2.596s) [         8352EE6]      netinterfaces.cpp:36    INFO| netif '{54921B9A-D779-4B2B-8820-1CE578EBA38A}' (status: 2, multicast: 1
2026-06-01 22:13:06.438 (   2.596s) [         8352EE6]      netinterfaces.cpp:36    INFO| netif '{ED154277-1459-47EB-AF78-151677F44DD4}' (status: 2, multicast: 1
2026-06-01 22:13:06.438 (   2.596s) [         8352EE6]      netinterfaces.cpp:36    INFO| netif '{DE25D8FA-C1F1-4A02-BF65-B86B6B10F338}' (status: 1, multicast: 1
2026-06-01 22:13:06.438 (   2.596s) [         8352EE6]      netinterfaces.cpp:58    INFO|       IPv6 ifindex 17
2026-06-01 22:13:06.438 (   2.596s) [         8352EE6]      netinterfaces.cpp:36    INFO| netif '{327421B6-9D15-4A91-BCBC-85D1C378F4EB}' (status: 2, multicast: 1
2026-06-01 22:13:06.438 (   2.597s) [         8352EE6]      netinterfaces.cpp:36    INFO| netif '{6575BA6E-BB71-11F0-BCDF-806E6F6E6963}' (status: 1, multicast: 1
2026-06-01 22:13:06.439 (   2.597s) [         8352EE6]      netinterfaces.cpp:58    INFO|       IPv6 ifindex 1
2026-06-01 22:13:06.439 (   2.597s) [         8352EE6]         api_config.cpp:126   INFO| Loaded default config
name=OpenSignals | type=00:07:80:0F:31:9C | ch=3 | rate=1000.0 | source=OpenSignals
2026-06-01 22:13:08.459 (   4.617s) [         8352EE6]             common.cpp:78    INFO| git:64988c6a14b8dc3b3f270ece58eab4f480bfab43/branch:refs/tags/v1.17.7/build:Release/compiler:MSVC-19.29.30159.0/link:SHARED
[LSL] mapped by label -> EDA=ch1, ECG=ch2 (labels: ['DIGITAL', 'EDA', 'ECG']).

press enter to start the session (begins baseline from recording sample 0)
[CTRL] sent 'start' to fake stream at 127.0.0.1:5006
got 0 samples
got 13 samples| raw_EDA=3.8508 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9630 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9460 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7960 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8404 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=2.9120 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.5015 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8324 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4412 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9186 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.9021 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7433 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=2.7854 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0490 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8858 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8641 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.5293 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8660 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0965 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9564 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8095 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=2.8302 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.0081 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9486 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7353 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.0445 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9451 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.6774 μS | HR=— BPM | RMSSD=— ms
got 12 samples| raw_EDA=2.8853 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3122 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.6638 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8985 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1041 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8889 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.6784 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0753 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8778 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7075 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=2.9408 μS | HR=— BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.1461 μS | HR=90.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.6333 μS | HR=90.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9210 μS | HR=90.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0909 μS | HR=90.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8802 μS | HR=90.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.6888 μS | HR=90.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0767 μS | HR=90.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8872 μS | HR=90.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.6753 μS | HR=90.4 BPM | RMSSD=— ms
got 14 samples| raw_EDA=2.9106 μS | HR=90.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0916 μS | HR=87.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7100 μS | HR=87.9 BPM | RMSSD=— ms
got 12 samples| raw_EDA=2.8926 μS | HR=87.9 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.2314 μS | HR=87.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8726 μS | HR=87.9 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.6486 μS | HR=87.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1766 μS | HR=87.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9936 μS | HR=87.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8289 μS | HR=87.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8173 μS | HR=87.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1485 μS | HR=88.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.6892 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1277 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0382 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8355 μS | HR=88.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.6829 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0785 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8480 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7537 μS | HR=88.3 BPM | RMSSD=— ms
got 12 samples| raw_EDA=2.9921 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0684 μS | HR=89.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7623 μS | HR=89.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0164 μS | HR=89.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0566 μS | HR=89.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7634 μS | HR=89.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7804 μS | HR=89.0 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.0212 μS | HR=89.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7356 μS | HR=89.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7134 μS | HR=89.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9311 μS | HR=89.0 BPM | RMSSD=— ms
